model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
mlx-community/Qwen3.6-27B-4bit,pp2048,482.5184382614081,0.40634150410803194,482.5184382614081,0.40634150410803194,,,,,4462.779500327694,2.8232567407588,4245.781361649279,2.8232567407588,4462.779500327694,2.8232567407588
mlx-community/Qwen3.6-27B-4bit,tg32,15.419480769654172,0.013445107553277848,15.419480769654172,0.013445107553277848,16.0,0.0,16.0,0.0,,,,,,
mlx-community/Qwen3.6-27B-4bit,pp2048,459.81445314721367,15.421848663180995,459.81445314721367,15.421848663180995,,,,,4677.30973600798,145.84876846074377,4460.311597329564,145.84876846074377,4677.30973600798,145.84876846074377
mlx-community/Qwen3.6-27B-4bit,tg1024,15.289057090288381,0.01056075364057108,15.289057090288381,0.01056075364057108,16.0,0.0,16.0,0.0,,,,,,
mlx-community/Qwen3.6-27B-4bit,ctx_pp @ d1024,446.0219412486429,19.4187712415591,446.0219412486429,19.4187712415591,,,,,2519.5885140177174,103.29741332086815,2302.5903753393018,103.29741332086815,2519.5885140177174,103.29741332086815
mlx-community/Qwen3.6-27B-4bit,ctx_tg @ d1024,15.465837452935608,0.05346989702645153,15.465837452935608,0.05346989702645153,16.0,0.0,16.0,0.0,,,,,,
mlx-community/Qwen3.6-27B-4bit,pp2048 @ d1024,305.11433165183695,0.793573986672622,305.11433165183695,0.793573986672622,,,,,6929.281569299444,17.481423177340382,6712.283430621028,17.481423177340382,6929.281569299444,17.481423177340382
mlx-community/Qwen3.6-27B-4bit,tg32 @ d1024,15.38062758597074,0.01912549857550134,15.38062758597074,0.01912549857550134,16.0,0.0,16.0,0.0,,,,,,
mlx-community/Qwen3.6-27B-4bit,ctx_pp @ d1024,459.143313126554,8.359998654306121,459.143313126554,8.359998654306121,,,,,2450.1576386780166,40.703310101136196,2233.1594999996014,40.703310101136196,2450.1576386780166,40.703310101136196
mlx-community/Qwen3.6-27B-4bit,ctx_tg @ d1024,15.361160897120904,0.010088310487113259,15.361160897120904,0.010088310487113259,16.0,0.0,16.0,0.0,,,,,,
mlx-community/Qwen3.6-27B-4bit,pp2048 @ d1024,307.386472421144,1.2500900577098137,307.386472421144,1.2500900577098137,,,,,6879.730471991934,27.028979519313772,6662.732333313518,27.028979519313772,6879.730471991934,27.028979519313772
mlx-community/Qwen3.6-27B-4bit,tg1024 @ d1024,15.216547922534884,0.007232990542953549,15.216547922534884,0.007232990542953549,16.0,0.0,16.0,0.0,,,,,,
mlx-community/Qwen3.6-27B-4bit,ctx_pp @ d8192,467.49155206365475,6.068044900517022,467.49155206365475,6.068044900517022,,,,,17746.134291655228,229.02486988733315,17529.136152976815,229.02486988733315,17746.134291655228,229.02486988733315
mlx-community/Qwen3.6-27B-4bit,ctx_tg @ d8192,14.976548586935543,0.045576649279540485,14.976548586935543,0.045576649279540485,15.666666666666666,0.4714045207910317,15.666666666666666,0.4714045207910317,,,,,,
mlx-community/Qwen3.6-27B-4bit,pp2048 @ d8192,92.47822536478543,1.315881531947692,92.47822536478543,1.315881531947692,,,,,22367.282097014442,318.381095560703,22150.28395833603,318.381095560703,22367.282097014442,318.381095560703
mlx-community/Qwen3.6-27B-4bit,tg32 @ d8192,14.853442326610066,0.054441532988841405,14.853442326610066,0.054441532988841405,15.0,0.0,15.0,0.0,,,,,,
mlx-community/Qwen3.6-27B-4bit,ctx_pp @ d8192,463.90731686125304,7.61760304388321,463.90731686125304,7.61760304388321,,,,,17883.32779201058,289.65183683874335,17666.329653332166,289.65183683874335,17883.32779201058,289.65183683874335
mlx-community/Qwen3.6-27B-4bit,ctx_tg @ d8192,14.8737835348644,0.002431497870617419,14.8737835348644,0.002431497870617419,16.0,0.0,16.0,0.0,,,,,,
mlx-community/Qwen3.6-27B-4bit,pp2048 @ d8192,90.29929172721233,1.4670197505511402,90.29929172721233,1.4670197505511402,,,,,22903.173805660725,371.9163903111954,22686.175666982308,371.9163903111954,22903.173805660725,371.9163903111954
mlx-community/Qwen3.6-27B-4bit,tg1024 @ d8192,14.726988929854476,0.010062093547630444,14.726988929854476,0.010062093547630444,15.0,0.0,15.0,0.0,,,,,,
