model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
Qwen3.6-27B-Q4_K_M-MTP-Instruct,pp2048,311.3393148401417,1.3037495786118594,311.3393148401417,1.3037495786118594,,,,,6168.420347346303,184.285986527999,6003.95190269531,184.285986527999,6168.420347346303,184.285986527999
Qwen3.6-27B-Q4_K_M-MTP-Instruct,tg32,26.86550075329544,1.5257172574090836,26.86550075329544,1.5257172574090836,30.0,0.0,30.0,0.0,,,,,,
Qwen3.6-27B-Q4_K_M-MTP-Instruct,pp2048,309.6519731079302,1.8566113738616665,309.6519731079302,1.8566113738616665,,,,,6228.983985997426,169.63187630814443,6064.515541346434,169.63187630814443,6228.983985997426,169.63187630814443
Qwen3.6-27B-Q4_K_M-MTP-Instruct,tg1024,22.05827759890073,0.7433642161668474,22.05827759890073,0.7433642161668474,32.333333333333336,1.247219128924647,32.333333333333336,1.247219128924647,,,,,,
Qwen3.6-27B-Q4_K_M-MTP-Instruct,ctx_pp @ d1024,305.3084100904459,20.460921732544165,305.3084100904459,20.460921732544165,,,,,3239.8197913231947,268.4241877320586,3075.351346672202,268.4241877320586,3239.8197913231947,268.4241877320586
Qwen3.6-27B-Q4_K_M-MTP-Instruct,ctx_tg @ d1024,25.881569881846115,1.071389375561934,25.881569881846115,1.071389375561934,29.333333333333332,0.9428090415820634,29.333333333333332,0.9428090415820634,,,,,,
Qwen3.6-27B-Q4_K_M-MTP-Instruct,pp2048 @ d1024,222.62716438210626,2.5170924971081288,222.62716438210626,2.5170924971081288,,,,,9364.873069299696,103.2916106424368,9200.404624648703,103.2916106424368,9364.873069299696,103.2916106424368
Qwen3.6-27B-Q4_K_M-MTP-Instruct,tg32 @ d1024,27.563455479561743,0.026207580007651107,27.563455479561743,0.026207580007651107,30.0,0.0,30.0,0.0,,,,,,
Qwen3.6-27B-Q4_K_M-MTP-Instruct,ctx_pp @ d1024,307.4481358986731,13.322787740346925,307.4481358986731,13.322787740346925,,,,,3142.9089029940465,233.48097499243127,2978.4404583430537,233.48097499243127,3142.9089029940465,233.48097499243127
Qwen3.6-27B-Q4_K_M-MTP-Instruct,ctx_tg @ d1024,21.287417879897195,0.46153126620525553,21.287417879897195,0.46153126620525553,35.333333333333336,4.027681991198191,35.333333333333336,4.027681991198191,,,,,,
Qwen3.6-27B-Q4_K_M-MTP-Instruct,pp2048 @ d1024,229.3550561402615,7.27351296020195,229.3550561402615,7.27351296020195,,,,,9103.042014020806,289.69317434151674,8938.573569369813,289.69317434151674,9103.042014020806,289.69317434151674
Qwen3.6-27B-Q4_K_M-MTP-Instruct,tg1024 @ d1024,20.360362811676904,1.0912642867061015,20.360362811676904,1.0912642867061015,37.0,0.816496580927726,37.0,0.816496580927726,,,,,,
Qwen3.6-27B-Q4_K_M-MTP-Instruct,ctx_pp @ d2048,307.01775266090766,8.552092347598702,307.01775266090766,8.552092347598702,,,,,6166.031236333462,68.96842129584006,6001.56279168247,68.96842129584006,6166.031236333462,68.96842129584006
Qwen3.6-27B-Q4_K_M-MTP-Instruct,ctx_tg @ d2048,26.002972006184578,0.4159022857271598,26.002972006184578,0.4159022857271598,30.0,0.0,30.0,0.0,,,,,,
Qwen3.6-27B-Q4_K_M-MTP-Instruct,pp2048 @ d2048,212.7423337705262,4.559132588971023,212.7423337705262,4.559132588971023,,,,,9795.574805350043,207.0892716906437,9631.10636069905,207.0892716906437,9795.574805350043,207.0892716906437
Qwen3.6-27B-Q4_K_M-MTP-Instruct,tg32 @ d2048,23.88478863480431,4.793695230519876,23.88478863480431,4.793695230519876,30.0,0.0,30.0,0.0,,,,,,
Qwen3.6-27B-Q4_K_M-MTP-Instruct,ctx_pp @ d2048,307.2234883562144,5.931652323827953,307.2234883562144,5.931652323827953,,,,,6246.406930615194,172.95323304539565,6081.938485964201,172.95323304539565,6246.406930615194,172.95323304539565
Qwen3.6-27B-Q4_K_M-MTP-Instruct,ctx_tg @ d2048,20.48864704008859,1.1503949752577871,20.48864704008859,1.1503949752577871,33.666666666666664,3.39934634239519,33.666666666666664,3.39934634239519,,,,,,
Qwen3.6-27B-Q4_K_M-MTP-Instruct,pp2048 @ d2048,220.21566310552217,5.640239164657916,220.21566310552217,5.640239164657916,,,,,9470.439125356885,234.12229967696157,9305.970680705892,234.12229967696157,9470.439125356885,234.12229967696157
Qwen3.6-27B-Q4_K_M-MTP-Instruct,tg1024 @ d2048,22.031717788744995,0.1728975996678658,22.031717788744995,0.1728975996678658,35.0,0.816496580927726,35.0,0.816496580927726,,,,,,
